del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet
9066,65722,Confirm Kavanaugh Now!  #MAGA URL,NOT,,,confirm kavanaugh url
9067,75376,"@USER Like all CONServatives, @USER lies. Either that or Druggy was stoned and not really present"".""",NOT,,,like conservatives lies either druggy stoned really present
9068,10465,@USER Well said buddy well said ! You are 100 💯 right,NOT,,,well said buddy well said 100 right
9069,28371,@USER @USER @USER Have you ever seen ANTIFA burning college campuses and trashing them any time a conservative comes to speak ? Educate yourself please !,OFF,TIN,GRP,ever seen antifa burning college campuses trashing time conservative comes speak educate please
9070,66128,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Thank you Moe! 😁🌪🌪  #MAGA  #TrumpTrainPortal URL,NOT,,,thank moe url
9071,28503,@USER @USER @USER @USER @USER And guys like you are the fat yokels.,OFF,TIN,GRP,guys like fat yokels
9072,98765,@USER You will see more and more shocking vigilante style justice like this. Liberals on these courts are out of control.Swamp creatures in DC beware. Start serving the U.S. citizens 1st. Lot of fed up Americans across this great country of ours. URL,OFF,TIN,OTH,see shocking vigilante style justice like liberals courts control swamp creatures beware start serving citizens 1st lot fed americans across great country url
9073,14917,@USER Shit...,OFF,UNT,,shit
9074,94891,@USER Haha the devil himself. Now exposed could not wait any  longer to call for the wall not too be built.,NOT,,,haha devil exposed could wait longer call wall built
9075,53389,@USER @USER @USER Boltey hai na ki jo Beef kaate hai uski akal gutno me reti hai n i can expect it brain. He is the PM of my country n yes we celeb his Bday every day n it make sense the ppl who offer prayers fr Osama bin Laden Janaza have much of the probs. Fewer lives n minds can't be changed.,NOT,,,boltey hai beef kaate hai uski akal gutno reti hai expect brain country yes celeb bday every day make sense ppl offer prayers osama bin laden janaza much probs fewer lives minds changed
9076,33117,@USER god damn you’re so fucking valid,OFF,TIN,IND,god damn fucking valid
9077,64869,I love it when a plan comes together ☺️ #maga #nexit URL,OFF,UNT,,love plan comes together ☺ ️ url
9078,70412,@USER @USER @USER Or like the antifa Berkeley Professor who assaulted someone with a bike lock?,NOT,,,like antifa berkeley professor assaulted someone bike lock
9079,37232,&lt;treph&gt; I have my computer &lt;treph&gt; and &lt;treph&gt; no job. &lt;treph&gt; &gt; i &lt;treph&gt; You are carrying: &lt;treph&gt; a computer &lt;treph&gt; no job,NOT,,,treph computer treph treph job treph treph carrying treph computer treph job
9080,47499,@USER @USER @USER @USER @USER And then to cap it off the £1.14bn figure ignores the drip down effect of those families spending their money in small and big businesses generating jobs consumption taxes etc.  It really hasn’t been thought through #HMRCHumanCost #2019LoanCharge,NOT,,,cap £ 14bn figure ignores drip effect families spending money small big businesses generating jobs consumption taxes etc really thought
9081,68669,@USER Cross them of the list....,NOT,,,cross list
9082,83141,@USER @USER Yes we did,NOT,,,yes
9083,47275,@USER He is eating instead of sleeping! What's new,NOT,,,eating instead sleeping new
9084,16312,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Thank you Laura for bringing President Trump supporters together!  Following all #MAGA Patriots!,NOT,,,thank laura bringing president trump supporters together following patriots
9085,44418,@USER @USER This is a big deal. Hatch has to be embarrassed. Oh yeah he is senile and can't find the bathroom by himself.,OFF,TIN,IND,big deal hatch embarrassed yeah senile find bathroom
9086,68016,"@USER @USER Just because he is the elected president "", doesnt mean he has earned it. When he start serving the people of his country, then by all means.....it shall be well desrerved. When you serve thos who you have hiding in your pocket, give me a break. You can keep YOUR commander.""",OFF,TIN,IND,elected president doesnt mean earned start serving people country means shall well desrerved serve thos hiding pocket give break keep commander
9087,78033,@USER Nigga keep tryna play both sides lol,OFF,TIN,IND,nigga keep tryna play sides lol
9088,97232,@USER She is a courageous intelligent woman who knows the crap that people will say - she is standing up to some evil and powerful and ruthless men who will stop at nothing to destroy her and her testimony,OFF,UNT,,courageous intelligent woman knows crap people say standing evil powerful ruthless men stop nothing destroy testimony
9089,39720,@USER Happy 1stbirthday to Savage(Songs from a Broken World)! This time lst yr it dropped in my door and damn did it do some shit! 🎶 Little did we all know the ride it was going to take you and us as fans on. Thank you for this masterpiece! #garynuman #Savage #no2album URL,OFF,TIN,OTH,happy 1stbirthday savage songs broken world time lst dropped door damn shit little know ride going take fans thank masterpiece url
9090,57036,@USER Smh nigga dat shit gone take us far u tweaked out🤦🏼‍♂️💯,OFF,TIN,IND,smh nigga dat shit gone take far tweaked ‍ ♂ ️
9091,58067,@USER That describes how I feel about the Liberals at any level,NOT,,,describes feel liberals level
9092,52810,@USER iconic.,NOT,,,iconic
9093,47476,@USER So much for gun control...not to be incentive. But really. Just saying,NOT,,,much gun control incentive really saying
9094,70836,@USER He might want to visit New Mexico where there are 5 radical Muslim.,NOT,,,might want visit new mexico radical muslim
9095,32533,2) The IRS attacked conservatives. The FBI rose up against a Presidential Candidate.  Suspicious deaths occurred.  The Police were branded social enemies.  DACA gave rise to illegal immigrants as voter puppets. The Military was weakened.  Iran was funded for Nuclear capabilities.,NOT,,,irs attacked conservatives fbi rose presidential candidate suspicious deaths occurred police branded social enemies daca gave rise illegal immigrants voter puppets military weakened iran funded nuclear capabilities
9096,76420,@USER Weird California has all the best gun control,NOT,,,weird california best gun control
9097,34899,@USER @USER TRUMP IS A FUCKING ASSHOLE AND IF YOU THINK OTHERWISE THEN YOUR AN IDIOT. MY FRIENDS IN PR WERE HURT. YOU ARE THE ONE THAT NEEDS TO GET EDUCATED. I EDUCATE MYSELF EVERYDAY I TALK TO THEM EVERYDAY. SO STFU,OFF,TIN,IND,trump fucking asshole think otherwise idiot friends hurt one needs get educated educate everyday talk everyday stfu
9098,70033,@USER With his time of service he is going through waivers? I thought he was a vet who just went to free agency. I guess it just depends on his last two seasons and if they count?,NOT,,,time service going waivers thought vet went free agency guess depends last two seasons count
9099,45077,@USER Yes he is.,NOT,,,yes
9100,77254,@USER Thanks and you are a good looking young man and hopefully will find yourself a loving beautiful young man to love and love you.,NOT,,,thanks good looking young man hopefully find loving beautiful young man love love
9101,72677,@USER @USER Forget that @USER called @USER a con man and a KKK supporter...she actually voted  for @USER Doesn't that sum up how truly unqualified she is for Florida,OFF,TIN,OTH,forget called con man kkk supporter actually voted sum truly unqualified florida
9102,93433,@USER @USER @USER @USER Love this.,NOT,,,love
9103,42450,#teamspotlightsunday this spotlight goes to 2 women! Meghan McDermott and Alanna McDermott. Alanna has had an amazing journey not only physically but mentally. She is breaking her comfort zone by helping others achieve their goals. I am so proud of you! Your growth is inspiring! URL,NOT,,,spotlight goes women meghan mcdermott alanna mcdermott alanna amazing journey physically mentally breaking comfort zone helping others achieve goals proud growth inspiring url
9104,88488,@USER wow @USER you are so cute,OFF,UNT,,wow cute
9105,52878,@USER @USER WTH Dude!!! Seriously..... you are going to CRITIQUE THIS?!?  Take your sorry liberal self to an Antifa protest,OFF,TIN,IND,wth dude seriously going critique take sorry liberal self antifa protest
9106,53804,@USER @USER  Chicago~~ Nearly 100 years of crooked Democrat leadership &amp; some of the strictest gun control in the nation and Dopey Durbin attempts to lay the blame at the feet of Republicans🤔🤔 MAKE NO MISTAKE DEMOCRATS #YouBuiltThis #ChicagoDeathToll,OFF,TIN,IND,chicago nearly 100 years crooked democrat leadership strictest gun control nation dopey durbin attempts lay blame feet republicans make mistake democrats
9107,74931,@USER @USER Seems like a cool guy,NOT,,,seems like cool guy
9108,92966,11:11  Harry Potter reunion Ariana to be happy and safe Love Happiness for me and my friends Gun control @USER to notice me @USER to follow meee Cure for cancer now please Bye anxiety  Lion to get rid of depression  Hug Lion,NOT,,,harry potter reunion ariana happy safe love happiness friends gun control notice follow meee cure cancer please bye anxiety lion get rid depression hug lion
9109,83612,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER No he is the the bodyguard....,NOT,,,bodyguard
9110,70514,@USER The enemy within seems greater at this point than compromising sources and methods. It’s the sources and methods we Conservatives are concerned about! #draintheswamp,NOT,,,enemy within seems greater point compromising sources methods sources methods conservatives concerned
9111,56815,@USER @USER @USER You do scare all Americans with ur fake democratic platform. It’s mainly ur corrupt GOP ethics that are the problem. GOP is ok with supporting pedofiles treason &amp; voter suppression. Dems actually want improved health care for all sensible gun control &amp; to help the little guy,OFF,TIN,GRP,scare americans fake democratic platform mainly corrupt gop ethics problem gop supporting pedofiles treason voter suppression dems actually want improved health care sensible gun control help little guy
9112,65974,@USER @USER @USER I get that she is a winner but she crosses the line in what is acceptable.,NOT,,,get winner crosses line acceptable
9113,58352,@USER @USER You are not 'Progressive' without Palestine. #BDS URL,NOT,,,progressive without palestine url
9114,75967,@USER @USER Excuse me? They got what they had before the hurricane.  Expecting tract houses when you had lean to's and expecting honorable people likeTrump with the corruption they continue to vote in?!? Wake up.  He is flushing the swamp here and they need to flush their swamp there.,OFF,TIN,IND,excuse got hurricane expecting tract houses lean expecting honorable people liketrump corruption continue vote wake flushing swamp need flush swamp
9115,84594,.@USER If his Constituents support him they are as craven as he is. If they don't they need to VOTE HIM OUT! URL,OFF,TIN,GRP,constituents support craven need vote url
9116,60710,@USER @USER 18 year old constitutional and now a ballistic expert with all the answers. Google search trained  #2AShallNotBeInfringed,NOT,,,year old constitutional ballistic expert answers google search trained
9117,72465,@USER He is barely a journalist.,NOT,,,barely journalist
9118,66715,"...by accepting the premise that government can and should solve all of life’s problems, conservatives and Republicans... get into a 'bidding war' with progressives and Democrats."" The Libertarian Party is the only party that truly wants less government.  URL",NOT,,,accepting premise government solve life problems conservatives republicans get bidding war progressives democrats libertarian party party truly wants less government url
9119,57908,@USER @USER @USER @USER @USER @USER Conservatives are only interested in owning women like property and exploding the deficit so long as the rich are taken care of. Keep the faith tho.,NOT,,,conservatives interested owning women like property exploding deficit long rich taken care keep faith tho
9120,22875,@USER Remember when for decades conservatives yelled at liberals and progressives for being moral relativists (they weren't)? That was fun.,NOT,,,remember decades conservatives yelled liberals progressives moral relativists fun
9121,20512,@USER Because you could not even begin to respond since you can’t speak in full sentences and your words are so limited,OFF,TIN,IND,could even begin respond since speak full sentences words limited
9122,39025,@USER @USER Screw you and your team. Americans who scraficed are the reason you have a team !!! Leave our President alone !!!!,NOT,,,screw team americans scraficed reason team leave president alone
9123,32638,@USER I can't believe Twitter would ever target Conservatives...🙄,NOT,,,believe twitter would ever target conservatives
9124,97259,@USER @USER he has played 11 games in 5 years. when is time to realize he is a lost cause.,NOT,,,played games years time realize lost cause
9125,41807,@USER @USER You are funny 😂 URL,NOT,,,funny url
9126,53608,@USER So she is famous daughter.  Who cares about what she is doing really?  Not me,NOT,,,famous daughter cares really
9127,77799,@USER @USER This was a poor comparison. Jay Z literally said he fucked nas' baby mom and left the condom on his daughters baby seat. Cardi and nicki are fighting for what?,OFF,TIN,IND,poor comparison jay literally said fucked nas baby mom left condom daughters baby seat cardi nicki fighting
9128,12332,@USER @USER does that mean He still our #superman ? Pleaseeeeee say he is 🙏🏼🙏🏼🙏🏼🙏🏼,NOT,,,mean still pleaseee say
9129,36791,@USER He is kidding no one. His paper towel throwing stunt was seen around the world. He looked the ridiculous clown yet again. And we as a nation were scorned for the epic fail of a rescue mission to Puerto Rico.,OFF,TIN,IND,kidding one paper towel throwing stunt seen around world looked ridiculous clown yet nation scorned epic fail rescue mission puerto rico
9130,72919,@USER you realize she is being tricky with the wording on purpose. she is not saying the kids in the ice centers are being mistreated.,NOT,,,realize tricky wording purpose saying kids ice centers mistreated
9131,63522,@USER And there was much rejoicing,NOT,,,much rejoicing
9132,71112,@USER @USER @USER And are now the Nazi party...Antifa URL,NOT,,,nazi party antifa url
9133,65780,@USER Good ..  she is the one that seems sexist,OFF,TIN,IND,good one seems sexist
9134,30743,.@USER have a MAJORITY!   .@USER used OUR money to buy it.  Why they obsessed w/ what @USER would do regarding Brexit? They are not in power &amp; they are not negotiating.   .@USER should reply to @USER with: call a GE &amp; you’ll get your answer.,NOT,,,majority used money buy obsessed would regarding brexit power negotiating reply call get answer
9135,70686,Trump Is Making America Great Again URL,NOT,,,trump making america great url
9136,65840,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Wow.  This is really showing your lower level of reviewing of before governments.   This is what Antifa does -- promises antifascism but is lying to everyone by blaming capitalism as we now know it instead of the governments that have perverted it.,NOT,,,wow really showing lower level reviewing governments antifa promises antifascism lying everyone blaming capitalism know instead governments perverted
9137,22258,@USER Right on 👍👍  #MAGA 🇺🇸🙏🇺🇸 #WWG1WGA 🇺🇸👊🇺🇸,NOT,,,right
9138,97772,@USER @USER @USER @USER You are a disgrace defending the wrong doings by ANC umdala kangaka yhuuu,OFF,TIN,IND,disgrace defending wrong doings anc umdala kangaka yhuuu
9139,47484,@USER @USER @USER Didn't see him matching with antifa tbh,NOT,,,see matching antifa tbh
9140,53569,@USER Agree!,NOT,,,agree
9141,66091,@ new york yankees yall better start acting like champions bc that's what you are i have a lot of student loan debt and PLENTY of time to come to the bronx to shake-yell-motivate each and every one of you pinstriped millionaires i believe in you and im watching URL,NOT,,,@ new york yankees yall better start acting like champions lot student loan debt plenty time come bronx shake yell motivate every one pinstriped millionaires believe watching url
9142,57533,@USER @USER ah she is no @USER,NOT,,,
9143,66785,Ms Fords has made a #MAGA mistake! How will she escape the truth which is going to be that her useless lie will not stop US from #ConfirmJudgeKavanaugh #MondayMotivaton #MAGA #WWG1WGA #WalkAway #WalkAwayFromDemocrats2018 URL,OFF,TIN,IND,fords made mistake escape truth going useless lie stop url
9144,52875,@USER @USER @USER @USER @USER @USER If you put any claim that that ambulance chaser is in anyway anything by a shyster you are a fool bigger than he is,OFF,TIN,IND,put claim ambulance chaser anyway anything shyster fool bigger
9145,97052,@USER omg fuck our lives sis,OFF,TIN,GRP,omg fuck lives sis
9146,56301,@USER ANTIFA nut cases.,NOT,,,antifa nut cases
9147,10979,"@USER @USER Sadder still, these guys exist because of a bunch of far-left children that dress like ISIS, burn flags and attack journalists.  Yet our young leftists activists posing as journalists"" don't even cover the group #antifa that does all of the violence. Talk about bizarro world!""",NOT,,,sadder still guys exist bunch far left children dress like isis burn flags attack journalists yet young leftists activists posing journalists even cover group violence talk bizarro world
9148,88448,@USER Takes a lot of monthly walks to the mailbox to afford that kinda cheese. Liberals and their wise spending habits..😂,NOT,,,takes lot monthly walks mailbox afford kinda cheese liberals wise spending habits
9149,67656,@USER A disaster waiting to happen.,NOT,,,disaster waiting happen
9150,65913,@USER DNC corruption URL,OFF,TIN,OTH,dnc corruption url
9151,56093,@USER 😉😍😘You are welcome anytime my dear.😉😍😘😘,NOT,,,welcome anytime dear
9152,50752,@USER And they should face consequences.,OFF,TIN,GRP,face consequences
9153,67265,@USER @USER And this isn’t considered hate speech for the liberals.  If a republican said that about democrats the MSM would be raising 10 kinds of Hell   The hypocrisy is to be expected now,OFF,TIN,GRP,considered hate speech liberals republican said democrats msm would raising kinds hell hypocrisy expected
9154,85926,#New post #Former Theresa May aide Will Tanner says Conservatives are 'sleepwalking into opposition' has been published on SAllBuzz - URL URL,NOT,,,post theresa may aide tanner says conservatives sleepwalking opposition published sallbuzz url url
9155,65440,@USER @USER Does nicki even know who she is??? Dreamdoll a whole bully,OFF,TIN,IND,nicki even know dreamdoll whole bully
9156,92636,@USER @USER He also thinks it’s a success doing nothing about gun control with kids being murdered in their schools by people who have no need to possess guns!,OFF,TIN,IND,also thinks success nothing gun control kids murdered schools people need possess guns
9157,89120,@USER So was the IRS targeting of Conservatives... Obama sure set the mark for low deeds..,NOT,,,irs targeting conservatives obama sure set mark low deeds
9158,94184,@USER You are right he is a sorry little man...,OFF,TIN,IND,right sorry little man
9159,21570,@USER @USER I guess I don't know when I'm talking to a proud boy and when I'm talkin to an antifa. I am pro antifa. Which are you?,OFF,TIN,OTH,guess know talking proud boy talkin antifa pro antifa
9160,80496,@USER She is an absolutely beautiful gorgeous woman Inside and Out,NOT,,,absolutely beautiful gorgeous woman inside
9161,41827,* lives in Chicago   * thinks gun control works  😂😂😂😂😭 URL,OFF,TIN,OTH,lives chicago thinks gun control works url
9162,56628,@USER Rock(Hard)Man,NOT,,,rock hard man
9163,69807,#DianneFeinstein proves what 2nd Amendment supporters have long known about gun control laws URL URL,NOT,,,proves 2nd amendment supporters long known gun control laws url url
9164,74948,@USER Just reading this gives me anxiety about having anxiety. But it really does suck and takes more than sheer will power to overcome. Don't be afraid to seek help and ask your doctor if you need medication. There is no shame in it.,NOT,,,reading gives anxiety anxiety really suck takes sheer power overcome afraid seek help ask doctor need medication shame
9165,11658,@USER @USER The solution is gun control chief 👇🏼 URL,NOT,,,solution gun control chief url
9166,23935,@USER She is such a beautiful soul. My heart aches for the loss of her babies- but am so happy for her and her rainbow baby. ❤️,NOT,,,beautiful soul heart aches loss babies happy rainbow baby ❤ ️
9167,78499,Love our @USER #MAGA 🇺🇸❤️ URL,NOT,,,love ❤ ️ url
9168,81338,@USER @USER I just don’t get it . At least bring him in talk to him work him out feel him out what could the harm be you might just be surprised and sign him if he is what you think he is then don’t it’s just being smart,NOT,,,get least bring talk work feel could harm might surprised sign think smart
9169,21885,"@USER Hey #MichaelMoore .... have another hot fudge Sunday cookie dough bacon fat pizza .....""  #WalkAway #MAGA   @USER @USER @USER @USER @USER @USER",NOT,,,hey another hot fudge sunday cookie dough bacon fat pizza
9170,23199,@USER BLESS YOU!!! Are the camp organisers aware of this? Honestly why do people do this camp is supposed to be a fun safe place NOT A PREDATORY GROUND asdfghjkl,NOT,,,bless camp organisers aware honestly people camp supposed fun safe place predatory ground asdfghjkl
9171,38231,@USER Thanks Vince You fucker. No need to hold out and chance that clients miss it.,OFF,TIN,IND,thanks vince fucker need hold chance clients miss
9172,80877,@USER @USER Right on!  Time to stop this BS nonsense from the left. Time to prosecute antifa members as domestic terrorists as well.,NOT,,,right time stop nonsense left time prosecute antifa members domestic terrorists well
9173,52337,@USER He is on borrowed time.,NOT,,,borrowed time
9174,85632,@USER And she knows because the witch was there?  Another fake/lie about the President...If you hate America leave ASAP!!!!,NOT,,,knows witch another fake lie president hate america leave asap
9175,65296,@USER Time to vote and spit in the eye of all these liberals,OFF,TIN,GRP,time vote spit eye liberals
9176,44584,@USER Who doesn't support her? Better question is why in hell would I believe someone when liberals are lying 24/7? Shit a california professor recently attacked a man with a lock in a sock... How many women have faked attacks on them sense the election?,OFF,TIN,GRP,support better question hell would believe someone liberals lying shit california professor recently attacked man lock sock many women faked attacks sense election
9177,35252,@USER @USER Mine too! BBCAN2 was a top tier bb season,NOT,,,mine bbcan 2 top tier season
9178,59992,@USER Hopefully they don’t get shot because of Repug inaction on gun control.,OFF,TIN,IND,hopefully get shot repug inaction gun control
9179,19805,@USER We love you Mr President! Miss you more then any other President that has been in office. You are a class act my friend. 🙂😙,NOT,,,love president miss president office class act friend
9180,63577,@USER @USER Vinnie’s gonna hunt me down at an antifa march.  Shouldn’t be hard to recognise me  😂,NOT,,,vinnie gonna hunt antifa march hard recognise
9181,38989,@USER you are joking! 😭,NOT,,,joking
9182,52812,@USER @USER @USER gross and disgusting and revealing response - do you not care if your own daughter came home and said that she thought she was going to die while someone tried to rape her. You are one sick person condone that will participate in that for one minute. Not my America!!!,OFF,TIN,IND,gross disgusting revealing response care daughter came home said thought going die someone tried rape one sick person condone participate one minute america
9183,43479,@USER Meanwhile media on ANTIFA... URL,NOT,,,meanwhile media antifa url
9184,98619,@USER Not if you are polling mexicans!!! #tacobellanotherkindoffood #”Harris”saysitall #iamone,NOT,,,polling mexicans harris saysitall
9185,10317,@USER God is good to us 🙏👍,NOT,,,god good
9186,16443,#qanda Fahrenheit 451 is coming regarding conservatives  and their thought police,NOT,,,fahrenheit 451 coming regarding conservatives thought police
9187,64505,#Political zealotry &amp; #tribalism are the new #religion. #America has a problem. Are you contributing to it?URL #partisanship #tcot #Conservatives #conservative #GOP #Democrats #Progressives #Liberals #think  #Reason,NOT,,,zealotry new problem contributing url
9188,67176,@USER @USER the right to protest. Protesting during the anthem causes people to not even recognize what he is protesting nobody's even talking about the issue just the fact that he's kneeling during the anthem which is counterproductive,NOT,,,right protest protesting anthem causes people even recognize protesting nobody even talking issue fact kneeling anthem counterproductive
9189,72001,@USER @USER @USER So the only difference affecting crime rates between HI and CONUS is gun control?,NOT,,,difference affecting crime rates conus gun control
9190,32181,@USER .. newer info from this week.  This is obvious to you right?  If Kaz said in June the IPO is a go for Nov but in Sept they say it is no hold for filing issues then that is simply a change out of our control...Right?  I am not sure what you are after but it is enjoyable listening.,NOT,,,newer info week obvious right kaz said june ipo nov sept say hold filing issues simply change control right sure enjoyable listening
9191,12260,@USER same shit lmaaaaoooo. i was just making sure!,OFF,UNT,,shit lmaaaooo making sure
9192,95678,@USER Bono... who cares. Soon people will understand that they gain nothing from following a phony celebrity. Become a Leader of your people instead or help and support your fellow countrymen.,NOT,,,bono cares soon people understand gain nothing following phony celebrity become leader people instead help support fellow countrymen
9193,11211,@USER @USER It’s a unique situation bc apparently they knew each other very well. Supposedly dated. We’ll see when more details emerge. URL,NOT,,,unique situation apparently knew well supposedly dated see details emerge url
9194,97276,@USER @USER Liberals pitching fits again,NOT,,,liberals pitching fits
9195,70193,@USER @USER But that’s not convenient for Democrats who must destroy a man in front of his wife and children for the sake of power- Power that allows them to weaponize the FBI - CIA- NSA -IRS- all used against conservatives !!,OFF,TIN,OTH,convenient democrats must destroy man front wife children sake power power allows weaponize fbi cia nsa irs used conservatives
9196,80324,@USER you literally told me that you thought I was being “a fake nice bitch” URL,OFF,TIN,IND,literally told thought fake nice bitch url
9197,19289,@USER She is a complete idiot,OFF,TIN,IND,complete idiot
9198,83339,@USER @USER The Stinking media says Antifa and Code Pink are black radicals...every one I ever saw was a Racist White Democrat and they blame their violence on blacks.....bad stuff,OFF,TIN,OTH,stinking media says antifa code pink black radicals every one ever saw racist white democrat blame violence blacks bad stuff
9199,39623,But but #Beeto has the Drunk Drivers Who Leave The Scene Of An Accident vote all sewed up! #MAGA @USER #TxSen URL,OFF,UNT,,drunk drivers leave scene accident vote sewed url
9200,89778,@USER So Liberals CAN stand.,NOT,,,liberals stand
9201,86892,@USER @USER She is in our prayers.,NOT,,,prayers
9202,43465,@USER He is the worst speaker ever!,OFF,TIN,IND,worst speaker ever
9203,95473,@USER fake news at it's finest just change name to antifa and chicken gropers news you can't use...,NOT,,,fake news finest change name antifa chicken gropers news use
9204,84536,@USER @USER @USER Yes she is. So why isn't she under investigation?,NOT,,,yes investigation
9205,20387,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That’s a car 🚗,NOT,,,car
9206,32542,@USER @USER Liberals never apologize,NOT,,,liberals never apologize
9207,97010,@USER A disgrace...,NOT,,,disgrace
9208,76616,@USER Eric (fast n furious) holder,NOT,,,eric fast furious holder
9209,61240,@USER I`m with you JR.She is nothing.Don`t waste your time on human waste!,OFF,TIN,IND,nothing waste time human waste
9210,88696,Looks like a big group!   Way to lean into to #TeamTrump @USER #MAGA URL,NOT,,,looks like big group way lean url
9211,42266,@USER @USER how about stating the FACT that the rate of black people being murdered by black people is much higher than being murdered by white people.  Shine a light on that. Save Chicago.,NOT,,,stating fact rate black people murdered black people much higher murdered white people shine light save chicago
9212,93653,@USER Strange how Gun Control never works Criminals will never obey laws I am my own #FirstResponder URL,NOT,,,strange gun control never works criminals never obey laws url
9213,75591,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER False 🤣,NOT,,,false
9214,64917,@USER The album was boring for me 🤒the way his ass took forever to make it and it wasn’t even close to all that djsjsjjs i could NOT,OFF,TIN,IND,album boring way ass took forever make even close djsjsjjs could
9215,50431,@USER @USER She's probably a millionaire now and once they get paid all that money to slander and ruin someones name they go away because they don't want to get sued  for slander/libel. The Democrat Party pays a lot of money to get people to make false accusations against conservatives.,OFF,TIN,GRP,probably millionaire get paid money slander ruin someones name away want get sued slander libel democrat party pays lot money get people make false accusations conservatives
9216,75717,@USER Yes she is!,NOT,,,yes
9217,13552,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Good vibes going towards Robert!!!,NOT,,,good vibes going towards robert
9218,82989,"@USER @USER Climate change is a myth. Gun control is unconstitutional. Gestapo?"" What a stupid thing to say. They are upholding laws that have been on the books since 1996. Dumbasses""",OFF,TIN,GRP,climate change myth gun control unconstitutional gestapo stupid thing say upholding laws books since 1996 dumbasses
9219,41314,@USER @USER Who remembers when this was a leftist argument in favor of Antifa right around when they first became national news,NOT,,,remembers leftist argument favor antifa right around first became national news
9220,60287,@USER Follow The Pen🖋...#MAGA🇺🇸 It Is Mightier Than The Sword 🗡  #QANON🇺🇸   #WWG1WGA🇺🇸,NOT,,,follow pen mightier sword
9221,31996,@USER There's an entire faction dedicated to the idea that school shootings are all faked to try to get gun control laws passed.,OFF,TIN,GRP,entire faction dedicated idea school shootings faked try get gun control laws passed
9222,86689,"@USER @USER @USER @USER @USER Our debt is not unsubstantiated.  It is backed by the full faith and credit"" of the United States, except when conservatives decide they don't believe in that.""",NOT,,,debt unsubstantiated backed full faith credit united states except conservatives decide believe
9223,19300,@USER @USER @USER   YOU should've followed Flake's lead and LEFT the Senate!  YOU are one unpopular guy.  Always working against the POTUS.  Just another RINO in the Senate of Swamp Creatures!,NOT,,,followed flake lead left senate one unpopular guy always working potus another rino senate swamp creatures
9224,87598,@USER BO is bitterly PO’d that Donald Trumps presidency has made him look like the bad president that he was.,NOT,,,bitterly donald trumps presidency made look like bad president
9225,67685,@USER Hope your not shocked too bad in November#Kag,NOT,,,hope shocked bad november
9226,79245,@USER What??? She is cute but she doesn't look like me at all,NOT,,,cute look like
9227,93404,@USER yes please take more of the constitution away from us.. you took article 4 sec away  did you know when you did that you took away from us the one section in the Constitution WHERE ALL gun control laws come form.?  thank you....,NOT,,,yes please take constitution away took article sec away know took away one section constitution gun control laws come form thank
9228,36869,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Keep it going. Patriots Friends. Just don't spam don't spam. Send this to all your followers. URL,NOT,,,keep going patriots friends spam spam send followers url
9229,14098,@USER Does anyone proof read these articles before you post them? The article states 'the victim is in hospital in a critical condition where she remains'. Probably best she does as the headline tells us that she is dead!!! Sack the 12yo work experience kid who put this together.,NOT,,,anyone proof read articles post article states victim hospital critical condition remains probably best headline tells dead sack 12yo work experience kid put together
9230,70111,@USER @USER @USER You think it's just antifa who stands up against fascists? All decent people will. Look through history. The flabby bigots will run with their tails between their legs like that always do.,OFF,TIN,IND,think antifa stands fascists decent people look history flabby bigots run tails legs like always
9231,85036,@USER Yeah - because ANTIFA are nothing but violent thugs who assault anyone and everything.,OFF,TIN,IND,yeah antifa nothing violent thugs assault anyone everything
9232,15930,@USER @USER @USER it all adds up   she was bought,NOT,,,adds bought
9233,86256,@USER @USER @USER Black conservatives are routinely labeled by Black 1% as “Uncle Tom’s.” That is attacking Black conservatives for being Black.,NOT,,,black conservatives routinely labeled black uncle tom attacking black conservatives black
9234,93610,@USER @USER players should stand up and be counted like soccer players URL,OFF,TIN,GRP,players stand counted like soccer players url
